Name;X;Y;Cu;Zn;Fe;CLAY;SILT;SAND
T0;341378.1216;5000020.0310;31;101;36859;0.420831;63.952456;35.626712
T1;341545.3997;4999941.9900;22;121;37845;0.070021;42.206702;57.723276
T2;341542.4324;5000006.8690;14;101;34976;0.073038;40.662662;59.2643
T3 ;341374.3735;4999998.2210;24;110;38034;0.21383;48.585886;51.200287
T4;341757.4170;4999933.2350;38;185;48742;0.107165;51.059456;48.833378
T5;341184.8764;4999941.2850;24;108;43270;0.416785;50.611089;48.972128
T6;341588.7214;4999996.6650;24;113;34528;0.043575;39.849342;60.107084
T7;341766.7149;4999986.2960;44;154;45720;0.057303;36.258931;63.683764
T8;341171.8550;5000016.6570;42;124;43503;0.397826;42.299549;57.302629
T9;341237.4870;4999966.6840;21;84;33256;0.260891;47.163468;52.57564
T10;341339.7699;5000018.5230;27;90;34605;0.269362;53.340095;46.390544
T11;341178.2762;4999984.7940;27;120;44030;0.731691;54.08102;45.187285
T12;341729.5323;4999993.2920;33;148;44593;0.080582;44.967405;54.952012
T13;341304.3680;4999924.5740;17;76;31808;0.214574;46.464413;53.321013
T14;341587.2346;4999972.9270;16;107;33914;0.04973;42.306466;57.643806
T15;341264.6567;4999976.4530;15;65;24405;0.088688;34.779098;65.132215
T16;341568.6352;4999925.3610;21;108;36150;0.085601;40.048173;59.866226
T17;341448.0158;4999950.7280;17;77;28772;0.100571;43.572282;56.327148
T18;341262.0524;5000004.6700;10;76;24858;0.083143;31.763395;68.15346
T19;341527.0463;4999955.1580;15;110;36382;0.074425;37.543741;62.381837
T20;341112.0364;4999951.5430;33;128;43823;0.502075;54.354743;45.143183
T21;341310.4911;5000009.7280;16;69;30504;0.099406;37.652475;62.248115
T22;341510.8597;4999927.9380;13;91;31555;0.055386;36.696145;63.248467
T23;341209.2483;5000006.2430;44;118;42507;0.527592;49.323691;50.148717
T24;341131.9480;4999946.6860;34;143;44327;0.556257;56.325765;43.117975
T25;341380.6908;4999976.0210;22;101;38186;0.287395;57.106807;42.605798
T26;341665.1129;4999989.4280;31;127;40503;0.060247;50.243337;49.696413
T27;341371.5042;4999950.3850;29;121;40799;0.162703;47.619978;52.217323
T28;341631.3241;4999973.9830;15;85;33521;0.073834;48.73277;51.193393
T29;341480.8372;5000009.9330;30;96;33291;0.068074;42.236007;57.695919
T30;341522.2611;4999982.3190;20;98;36297;0.09011;48.89841;51.011483
T31;341264.5716;4999914.2000;18;75;35926;0.332366;48.959094;50.708539
T32;341244.7470;4999933.9180;12;76;28488;0.078929;31.930433;67.990643
T33;341620.9533;4999994.7570;27;93;31945;0.040867;40.951751;59.00738
T34;341738.1971;4999948.6630;39;153;44458;0.060786;48.955452;50.98376
T35;341141.3017;4999994.7350;30;105;38747;0.285394;44.186689;55.527918
T36;341579.2322;4999943.0560;16;111;35256;0.048126;39.764394;60.18748
T37;341163.6417;4999916.9550;30;127;44431;0.502477;51.029673;48.467852
T38;341239.0388;4999990.7120;15;57;23807;0.099123;35.974455;63.926422
T39;341648.8371;5000017.9560;30;120;37453;0.067161;53.319637;46.613203
T40;341737.4870;5000032.8570;44;178;47730;0.073757;42.287635;57.63861
T41;341342.5149;4999963.7120;13;70;30206;0.090391;39.739976;60.169634
T42;341414.5249;4999936.8180;13;75;29241;0.087568;40.814565;59.09787
T43;341606.1583;4999958.9050;15;97;34071;0.08206;45.213646;54.704292
T44;341406.4389;4999957.7870;13;72;30175;0.106484;46.947401;52.946119
T45;341622.9724;5000024.6930;19;123;37360;0.076113;48.472152;51.451738
T46;341720.8637;4999932.2480;29;117;34684;0.080217;41.020296;58.899486
T47;341149.1007;4999934.5360;35;129;44768;1.04782;70.057975;28.894207
T48;341348.8468;4999930.3570;22;84;35443;0.211691;57.418246;42.370063
T49;341750.1958;4999971.1810;38;156;49996;0.07122;44.668574;55.260206
T50;341760.8734;5000007.6790;46.5;168;51683;0.060635;40.377102;59.562264
T51;341279.5972;4999942.4090;18;63;25849;0.095923;39.804281;60.099796
T52;341435.8892;4999980.9900;23.5;94;36159;0.209054;47.607227;52.183717
T53;341310.1496;4999985.2870;17;61;28693;0.09443;33.306152;66.599419
T54;341690.4026;4999953.7780;23;104;36654;0.07353;42.939383;56.987085
T55;341405.3202;5000023.5510;20;101;37115;0.164495;58.25344;41.582064
T56;341676.8097;5000025.7980;22;102;34275;0.045386;54.062479;45.892135
T57;341138.0182;4999980.4920;39;145;46109;0.554757;63.720157;35.725083
T58;341596.5510;5000020.5710;26;115;35721;0.084545;48.201918;51.713534
T59;341480.7849;4999980.3490;30;95;34641;0.074814;50.41326;49.511927
T60;341635.9999;4999945.7100;28;116;37771;0.074383;46.58427;53.341347
T61;341283.8267;5000000.4940;13;70;24761;0.10477;36.417861;63.477368
T62;341102.3757;4999918.1010;37;158;42520;0.86642;61.656567;37.477011
T63;341289.7660;4999961.5440;13;62;23273;0.071379;30.781641;69.146982
T64;341792.1079;4999986.9290;35;156;41901;0.08259;45.162262;54.755149
T65;341464.7580;4999965.6520;26;93;34063;0.10665;47.788296;52.105054
T66;341800.3623;4999955.3630;32;149;41582;0.087453;52.082219;47.830329
T67;341220.3551;4999915.7370;14;77;31301;0.204043;57.689141;42.106819
T68;341700.1385;4999988.9330;29;105;37978;0.076688;49.787965;50.13535
T69;341667.3341;4999927.6470;31;105;39029;0.101932;49.09947;50.798598
T70;341659.2879;4999954.6930;16;113;38431;0.055746;51.989582;47.954672
T71;341553.7281;4999991.5760;19;93;33216;0.074007;46.125392;53.800602
T72;341498.1244;4999936.5870;20;98;34235;0.066178;39.203192;60.73063
T73;341128.9962;4999918.7600;35;118;43033;0.895203;64.156285;34.94851
T74;341440.8983;5000001.3960;21;105;35489;0.208984;55.325546;44.465472
T75;341790.3177;5000027.2320;28;143;38790;0.098342;52.122914;47.778741
T76;341315.2671;4999950.3350;13.5;65;28428;0.08862;37.092324;62.819054
T77;341730.3587;5000017.8550;35;162;46242;0.069038;42.620757;57.310205
T78;341787.4013;4999950.2160;30;138;41796;0.088668;53.948472;45.96286
T79;341560.4389;4999964.6540;28;97;32885;0.106445;47.709841;52.183714
T80;341554.2388;5000024.3900;22;125;34682;0.075694;46.935108;52.989199
T81;341404.7854;4999979.2610;19;77;30265;0.101652;47.288231;52.610113
T82;341411.4923;4999999.1330;25;101;36899;0.26017;54.562924;45.17691
T83;341512.2494;5000017.8650;22;106;34083;0.098486;49.853411;50.048104
T84;341383.2004;4999924.9700;15;85;33257;0.178214;48.346601;51.475187
T85;341163.7234;4999967.0240;34;142;43661;0.928095;65.36918;33.702726
T86;341117.5574;5000014.8250;43;150;48890;0.948252;70.351281;28.700462
T87;341477.3373;4999942.4670;21;111;37023;0.101097;47.55205;52.346854
T88;341711.4110;4999966.7940;21.5;133;41756;0.079089;46.631262;53.28965
T89;341428.2227;4999961.5650;14;70;29332;0.09062;46.248552;53.660825
T90;341485.5775;4999920.0250;16;81;33122;0.173445;47.695664;52.130892
T91;341338.6796;4999993.1290;27;74;30752;0.268654;46.533273;53.198073
T92;341502.8936;4999961.9960;25;113;36085;0.079902;44.506539;55.413558
T93;341202.6189;4999966.4710;27;108;39916;0.804157;60.69139;38.504455
T94;341702.4923;5000016.5850;31;130;39126;0.100309;49.250532;50.64916
T95;341218.5094;4999939.3830;16;93;34240;0.359757;53.947586;45.692656
T96;341609.3799;4999929.8060;20;114;35868;0.093435;48.060538;51.846028
T97;341107.9115;4999981.6750;28;124;41624;0.562022;61.678851;37.759128
T98;341462.8804;5000021.4580;23;99;33732;0.103144;53.276612;46.620242
T99;341454.6193;4999929.9170;18;85;31324;0.087762;45.605575;54.306662
